,,$\mu$ = 2,$\mu$ = 4,$\mu$ = 8,$\mu$ = 16
\rotatebox{90}{RMSE},RRM Linear Regression,0.683 $\pm$ 0.072,0.943 $\pm$ 0.022,0.961 $\pm$ 0.003,0.969 $\pm$ 0.001
,RGD Linear Regression,1.251 $\pm$ 0.134,1.252 $\pm$ 0.134,1.252 $\pm$ 0.134,1.252 $\pm$ 0.134
,Two-Stage Approach,2.203 $\pm$ 1.349,2.134 $\pm$ 1.225,2.218 $\pm$ 1.397,2.229 $\pm$ 1.379
,PerfGD,6.534 $\pm$ 3.252,6.683 $\pm$ 3.497,6.389 $\pm$ 3.497,6.298 $\pm$ 3.471
,RRM Neural Networks,0.479 $\pm$ 0.054,0.492 $\pm$ 0.063,0.503 $\pm$ 0.074,0.518 $\pm$ 0.086
,DFO($\lambda$),1.435 $\pm$ 0.187,1.309 $\pm$ 0.241,1.281 $\pm$ 0.297,1.306 $\pm$ 0.292
,PPW,0.25 $\pm$ 0.006,0.248 $\pm$ 0.011,0.248 $\pm$ 0.007,0.245 $\pm$ 0.019
\rotatebox{90}{Model Gap},RRM Linear Regression,19.7948 $\pm$ 3.6174,8.1809 $\pm$ 1.0773,6.2176 $\pm$ 0.1021,6.2998 $\pm$ 0.0823
,RGD Linear Regression,0.0261 $\pm$ 0.0103,0.0261 $\pm$ 0.0103,0.0261 $\pm$ 0.0103,0.0261 $\pm$ 0.0103
,Two-Stage Approach,6.1372 $\pm$ 0.7099,6.1333 $\pm$ 0.6943,6.078 $\pm$ 0.8364,6.038 $\pm$ 0.8263
,PerfGD,0.0493 $\pm$ 0.036,0.0433 $\pm$ 0.0218,0.0371 $\pm$ 0.0194,0.0349 $\pm$ 0.0181
,RRM Neural Networks,6.4697 $\pm$ 0.5811,6.3395 $\pm$ 0.6712,6.3628 $\pm$ 0.6381,6.5516 $\pm$ 0.6702
,DFO($\lambda$),0.7607 $\pm$ 1.2631,0.7583 $\pm$ 1.2615,0.758 $\pm$ 1.2615,0.7586 $\pm$ 1.2611
,PPW,0.0005 $\pm$ 0.0011,0.0013 $\pm$ 0.0058,0.0002 $\pm$ 0.0008,0.0008 $\pm$ 0.0032
