,,$\mu$ = 2,$\mu$ = 4,$\mu$ = 8,$\mu$ = 16
\rotatebox{90}{RMSE},RRM Linear Regression,0.544 $\pm$ 0.095,0.523 $\pm$ 0.007,0.522 $\pm$ 0.012,0.521 $\pm$ 0.014
,RGD Linear Regression,0.58 $\pm$ 0.112,0.58 $\pm$ 0.117,2.096 $\pm$ 0.157,2.972 $\pm$ 0.081
,Two-Stage Approach,1.416 $\pm$ 0.239,1.869 $\pm$ 0.35,3.018 $\pm$ 0.518,4.945 $\pm$ 1.002
,PerfGD,2.055 $\pm$ 0.348,2.638 $\pm$ 0.547,2.488 $\pm$ 0.935,2.037 $\pm$ 1.169
,RRM Neural Networks,0.66 $\pm$ 0.175,0.52 $\pm$ 0.066,0.663 $\pm$ 0.064,1.205 $\pm$ 0.114
,DFO($\lambda$),2.968 $\pm$ 0.344,3.914 $\pm$ 0.794,5.874 $\pm$ 1.126,9.627 $\pm$ 2.517
,PPW,0.273 $\pm$ 0.009,0.278 $\pm$ 0.003,0.279 $\pm$ 0.001,0.281 $\pm$ 0.014
\rotatebox{90}{Model Gap},RRM Linear Regression,0.1453 $\pm$ 0.4402,0.0525 $\pm$ 0.0599,0.0517 $\pm$ 0.0518,0.05 $\pm$ 0.0382
,RGD Linear Regression,0.0055 $\pm$ 0.0066,0.0055 $\pm$ 0.0067,1.0 $\pm$ 0.0,1.0 $\pm$ 0.0
,Two-Stage Approach,2.1645 $\pm$ 0.2273,2.2741 $\pm$ 0.1861,2.1683 $\pm$ 0.1922,2.2502 $\pm$ 0.1963
,PerfGD,0.0121 $\pm$ 0.0065,0.0125 $\pm$ 0.004,0.0129 $\pm$ 0.0071,0.0124 $\pm$ 0.0125
,RRM Neural Networks,5.9887 $\pm$ 0.5794,6.9771 $\pm$ 0.4039,6.6034 $\pm$ 0.4266,6.3752 $\pm$ 0.5405
,DFO($\lambda$),0.7895 $\pm$ 0.8387,0.829 $\pm$ 0.776,0.867 $\pm$ 0.7203,0.8383 $\pm$ 0.6886
,PPW,0.0014 $\pm$ 0.0021,0.0003 $\pm$ 0.0006,0.0001 $\pm$ 0.0007,0.0005 $\pm$ 0.0047
