Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115
2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,1,92.02,Winter,0,229
2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,1,60.08,Winter,0,157
2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,0,85.19,Winter,0,52
2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,0,51.63,Winter,0,59
2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,0,40.01,Winter,0,55
2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,0,24.78,Winter,0,94
2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,0,44.85,Winter,0,61
2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,0,108.7,Winter,0,129
2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,0,129.98,Winter,0,69
2022-01-01,S001,P0011,Furniture,North,215,51,142,156.34,0,Snowy,0,188.96,Winter,0,64
2022-01-01,S001,P0012,Groceries,North,289,121,215,84.48,0,Snowy,0,92.02,Winter,0,104
2022-01-01,S001,P0013,Toys,North,279,113,0,33.1,5,Snowy,0,39.11,Winter,0,110
2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,1,92.24,Winter,0,165
2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,0,13.59,Winter,0,64
2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,0,35.14,Winter,0,115
2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,0,22.73,Winter,0,75
2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,0,54.1,Winter,0,66
2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,0,103.05,Winter,0,58
2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,0,115.24,Winter,0,43
2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,0,81.87,Winter,0,118
2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,1,30.95,Winter,0,105
