,,$\mu$ = 2,$\mu$ = 4,$\mu$ = 8,$\mu$ = 16
\rotatebox{90}{RMSE},RRM Linear Regression,2.49 $\pm$ 0.585,5.75 $\pm$ 0.355,11.686 $\pm$ 0.175,23.421 $\pm$ 0.303
,RGD Linear Regression,0.661 $\pm$ 0.154,0.763 $\pm$ 0.132,1.302 $\pm$ 0.153,3.745 $\pm$ 1.029
,Two-Stage Approach,1.836 $\pm$ 0.227,3.375 $\pm$ 0.336,5.917 $\pm$ 0.878,11.174 $\pm$ 1.6
,PerfGD,0.722 $\pm$ 0.037,1.737 $\pm$ 0.298,3.7 $\pm$ 0.64,7.004 $\pm$ 0.759
,RRM Neural Networks,0.449 $\pm$ 0.091,2.082 $\pm$ 0.72,11.064 $\pm$ 5.77,156.481 $\pm$ 83.893
,DFO($\lambda$),2.668 $\pm$ 1.205,4.971 $\pm$ 2.672,8.348 $\pm$ 5.135,14.826 $\pm$ 9.029
,PPW,0.32 $\pm$ 0.01,0.321 $\pm$ 0.01,0.319 $\pm$ 0.023,0.33 $\pm$ 0.051
\rotatebox{90}{Model Gap},RRM Linear Regression,18.5342 $\pm$ 6.0211,93.0262 $\pm$ 10.5219,383.4647 $\pm$ 24.5818,1544.4377 $\pm$ 72.8832
,RGD Linear Regression,0.0067 $\pm$ 0.008,0.0108 $\pm$ 0.0058,0.1006 $\pm$ 0.1478,0.936 $\pm$ 0.1758
,Two-Stage Approach,0.998 $\pm$ 0.2152,1.0079 $\pm$ 0.1953,0.9202 $\pm$ 0.217,0.869 $\pm$ 0.2161
,PerfGD,0.0093 $\pm$ 0.0117,0.0473 $\pm$ 0.0487,0.0874 $\pm$ 0.0658,0.0891 $\pm$ 0.0623
,RRM Neural Networks,3.4227 $\pm$ 0.1223,4.1047 $\pm$ 0.2537,5.6028 $\pm$ 0.708,6.5901 $\pm$ 1.1207
,DFO($\lambda$),0.3438 $\pm$ 0.5333,0.3868 $\pm$ 0.545,0.393 $\pm$ 0.5173,0.4245 $\pm$ 0.5221
,PPW,0.0005 $\pm$ 0.0018,0.0001 $\pm$ 0.0005,0.0001 $\pm$ 0.0002,0.0 $\pm$ 0.0004
