,,$\mu$ = 2,$\mu$ = 4,$\mu$ = 8,$\mu$ = 16
\rotatebox{90}{RMSE},RRM Linear Regression,0.497 $\pm$ 0.09,0.557 $\pm$ 0.109,0.609 $\pm$ 0.145,0.74 $\pm$ 0.173
,RGD Linear Regression,0.757 $\pm$ 0.049,0.665 $\pm$ 0.024,0.584 $\pm$ 0.045,0.53 $\pm$ 0.029
,Two-Stage Approach,1.97 $\pm$ 3.387,2.655 $\pm$ 5.077,4.916 $\pm$ 10.526,9.561 $\pm$ 22.071
,PerfGD,3.248 $\pm$ 1.983,2.224 $\pm$ 2.178,1.205 $\pm$ 1.27,0.73 $\pm$ 0.529
,DFO($\lambda$),24.103 $\pm$ 5.017,38.681 $\pm$ 10.206,65.844 $\pm$ 18.207,116.566 $\pm$ 27.433
,PPW,0.222 $\pm$ 0.006,0.221 $\pm$ 0.005,0.221 $\pm$ 0.006,0.22 $\pm$ 0.006
\rotatebox{90}{Model Gap},RRM Linear Regression,0.0739 $\pm$ 0.0363,0.0428 $\pm$ 0.0146,0.0265 $\pm$ 0.0088,0.02 $\pm$ 0.0063
,RGD Linear Regression,0.0091 $\pm$ 0.0078,0.007 $\pm$ 0.003,0.0075 $\pm$ 0.0027,0.0092 $\pm$ 0.0034
,Two-Stage Approach,0.7648 $\pm$ 0.9302,0.6048 $\pm$ 0.8709,0.5101 $\pm$ 0.9022,0.4615 $\pm$ 0.9266
,PerfGD,0.0482 $\pm$ 0.026,0.0375 $\pm$ 0.0228,0.0256 $\pm$ 0.0186,0.0129 $\pm$ 0.0128
,DFO($\lambda$),0.8753 $\pm$ 0.8538,0.9361 $\pm$ 0.7469,0.9654 $\pm$ 0.6659,0.9023 $\pm$ 0.7105
,PPW,0.0002 $\pm$ 0.001,0.0001 $\pm$ 0.0005,0.0001 $\pm$ 0.0003,0.0 $\pm$ 0.0001
