trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
748.0,2.75,1.0,75.0,24,6.299999999999997,105.3,0
1187.0,3.43,1.0,105.0,24,13.200000000000017,142.20000000000002,0
730.0,3.12,1.0,71.25,0,26.625,97.875,1
671.0,5.63,3.0,90.0,0,9.75,99.75,0
329.0,2.09,1.0,45.0,12,13.199999999999989,70.19999999999999,0
355.0,1.74,1.0,45.0,0,26.625,71.625,1
453.0,2.22,1.0,52.5,0,6.0,58.5,0
1288.0,5.21,1.0,116.25,36,26.32499999999999,178.575,1
134.0,1.48,1.0,33.75,0,6.0,39.75,0
980.0,3.48,1.0,90.0,0,6.0,96.0,0
84305.0,4.94,2.0,116.25,29,26.19999999999999,171.45,1
328.0,2.16,1.0,48.75,15,26.700000000000003,90.45,1
1848.0,4.83,1.0,142.5,17,26.42500000000001,185.925,1
305.0,2.04,1.0,45.0,0,9.75,54.75,0
234.0,1.61,0.0,37.5,0,26.625,64.125,1
1537.0,7.64,1.0,146.25,14,26.42500000000001,186.675,1
4059.0,30.0,1.0,390.0,0,55.125,445.125,0
530.0,2.43,1.0,56.25,0,9.75,66.0,0
319.0,1.67,1.0,41.25,0,26.625,67.875,1
773.0,3.41,2.0,75.0,9,13.5,97.5,0
375.0,1.45,1.0,45.0,24,33.825,102.825,1
586.0,2.57,1.0,63.75,0,26.625,90.375,1
357.0,1.43,1.0,112.5,0,2.25,114.75,0
1617.0,3.23,6.0,123.75,8,26.125,157.875,1
1163.0,5.62,1.0,108.75,0,13.5,122.25,0
1059.0,5.39,1.0,112.5,0,6.0,118.5,0
1271.0,4.84,1.0,116.25,0,26.625,142.875,1
915.0,4.46,1.0,93.75,26,33.70000000000002,153.45000000000002,1
742.0,4.89,3.0,90.0,11,30.625,131.625,1
1467.0,5.21,1.0,127.5,0,6.0,133.5,0
929.0,4.31,1.0,93.75,25,5.900000000000006,124.65,0
1149.0,9.35,1.0,153.75,0,26.625,180.375,1
1146.0,3.88,1.0,97.5,37,26.825000000000017,161.32500000000002,1
1023.0,2.41,2.0,90.0,19,6.125,115.125,0
255.0,2.48,1.0,45.0,0,6.0,51.0,0
668.0,3.11,2.0,75.0,0,9.75,84.75,0
11323.0,0.14,1.0,337.5,68,2.1999999999999886,407.7,0
3722.0,19.17,1.0,322.5,89,34.30000000000001,445.8,1
962.0,12.7,1.0,180.0,37,6.199999999999989,223.2,0
407.0,5.13,1.0,78.75,18,9.450000000000003,106.2,0
512.0,2.4,1.0,56.25,12,6.450000000000003,74.7,0
139.0,0.64,1.0,26.25,9,6.375,41.625,0
1911.0,6.76,1.0,161.25,47,26.57499999999999,234.825,1
622.0,2.03,1.0,60.0,0,26.625,86.625,1
3438.0,27.54,1.0,408.75,4,75.64999999999998,488.4,1
395.0,2.27,1.0,52.5,13,13.700000000000003,79.2,0
703.0,6.45,1.0,101.25,28,9.5,138.75,0
978.0,4.51,1.0,97.5,12,27.075000000000017,136.57500000000002,1
730.0,3.35,1.0,75.0,22,33.95000000000002,130.95000000000002,1
1113.0,3.51,1.0,93.75,0,13.5,107.25,0
